Título de trazado: Iner.sumideros.meteo							
N.º	Fecha Tiempo, GMT-05:00	Temp, °C (LGR S/N: 10450278, SEN S/N: 10431781, LBL: AmbTemp)	HR, % (LGR S/N: 10450278, SEN S/N: 10431781, LBL: AmbHR)	Lluvia, mm (LGR S/N: 10450278, SEN S/N: 10440752, LBL: Lluvia)	Dirección del viento, ø (LGR S/N: 10450278, SEN S/N: 10468828, LBL: Direccion del viento)	Velocidad del viento, m/s (LGR S/N: 10450278, SEN S/N: 10470750, LBL: Velocidad del viento)	Velocidad de Ráfagas, m/s (LGR S/N: 10450278, SEN S/N: 10470750, LBL: Velocidad de rafagas)
1	03/23/17 10:21:40 AM	30.672	71.400		130.6	1.26	1.76
2	03/23/17 10:31:40 AM	31.001	72.000	0.00	161.5	0.76	3.02
3	03/23/17 10:41:40 AM	31.331	70.800	0.00	175.5	0.50	2.01
4	03/23/17 10:51:40 AM	31.816	70.600	0.00	203.6	0.76	2.52
5	03/23/17 11:01:40 AM	32.639	70.300	0.00	193.7	0.25	2.01
6	03/23/17 11:11:40 AM	31.586	68.900	0.00	185.3	0.50	2.52
7	03/23/17 11:21:40 AM	31.816	69.100	0.00	183.9	0.76	2.77
8	03/23/17 11:31:40 AM	32.253	70.000	0.00	175.5	0.76	2.52
9	03/23/17 11:41:40 AM	31.331	70.000	0.00	172.7	1.01	3.27
10	03/23/17 11:51:40 AM	30.672	74.000	0.00	164.3	1.26	3.53
11	03/23/17 12:01:40 PM	31.077	73.600	0.00	199.4	1.51	5.04
12	03/23/17 12:11:40 PM	31.331	72.100	0.00	193.7	1.51	4.28
13	03/23/17 12:21:40 PM	30.596	74.000	0.00	186.7	1.76	5.54
14	03/23/17 12:31:40 PM	30.900	75.700	0.00	193.7	1.76	6.04
15	03/23/17 12:41:40 PM	30.798	75.100	0.00	205.0	2.27	5.29
16	03/23/17 12:51:40 PM	30.748	74.500	0.00	172.7	1.76	5.79
17	03/23/17 01:01:40 PM	30.849	74.000	0.00	206.4	2.27	6.55
18	03/23/17 01:11:40 PM	30.293	73.700	0.00	205.0	2.52	8.56
19	03/23/17 01:21:40 PM	30.976	73.200	0.00	193.7	2.52	6.30
20	03/23/17 01:31:40 PM	31.026	72.100	0.00	172.7	2.27	6.30
21	03/23/17 01:41:40 PM	31.179	71.100	0.00	202.2	2.01	6.80
22	03/23/17 01:51:40 PM	31.230	70.500	0.00	188.1	2.27	7.05
23	03/23/17 02:01:40 PM	31.306	70.200	0.00	183.9	2.01	5.79
24	03/23/17 02:11:40 PM	30.596	70.200	0.00	203.6	2.27	5.79
25	03/23/17 02:21:40 PM	31.331	70.400	0.00	192.3	2.01	5.79
26	03/23/17 02:31:40 PM	31.561	70.000	0.00	195.1	2.01	6.30
27	03/23/17 02:41:40 PM	31.637	69.900	0.00	189.5	2.01	5.79
28	03/23/17 02:51:40 PM	31.816	69.400	0.00	192.3	1.51	5.29
29	03/23/17 03:01:40 PM	31.996	70.000	0.00	162.9	1.51	4.78
30	03/23/17 03:11:40 PM	32.510	69.900	0.00	137.6	1.01	3.27
31	03/23/17 03:21:40 PM	32.381	69.200	0.00	196.5	1.51	4.28
32	03/23/17 03:31:40 PM	32.433	69.600	0.00	205.0	1.01	3.53
33	03/23/17 03:41:40 PM	32.458	69.700	0.00	171.3	1.26	4.28
34	03/23/17 03:51:40 PM	32.098	70.600	0.00	161.5	1.51	4.78
35	03/23/17 04:01:40 PM	31.842	70.300	0.00	141.8	1.01	3.78
36	03/23/17 04:11:40 PM	32.047	71.000	0.00	146.0	1.51	4.28
37	03/23/17 04:21:40 PM	32.665	69.700	0.00	186.7	1.51	3.78
38	03/23/17 04:31:40 PM	32.587	68.100	0.00	165.7	1.51	5.04
39	03/23/17 04:41:40 PM	32.124	69.200	0.00	199.4	1.76	4.78
40	03/23/17 04:51:40 PM	32.227	69.200	0.00	148.8	1.51	4.03
41	03/23/17 05:01:40 PM	31.535	69.300	0.00	140.4	1.51	4.28
42	03/23/17 05:11:40 PM	30.697	72.000	0.00	174.1	1.51	4.28
43	03/23/17 05:21:40 PM	30.722	74.000	0.00	150.2	1.26	4.28
44	03/23/17 05:31:40 PM	30.596	74.300	0.00	160.0	1.26	4.53
45	03/23/17 05:41:40 PM	29.916	74.500	0.00	183.9	1.51	5.04
46	03/23/17 05:51:40 PM	29.815	75.100	0.00	144.6	1.26	3.02
47	03/23/17 06:01:40 PM	29.290	75.900	0.00	154.4	1.26	3.78
48	03/23/17 06:11:40 PM	28.965	78.200	0.00	157.2	1.51	5.29
49	03/23/17 06:21:40 PM	28.866	79.900	0.00	140.4	1.01	4.53
50	03/23/17 06:31:40 PM	28.742	80.600	0.00	143.2	0.76	4.03
51	03/23/17 06:41:40 PM	28.493	81.300	0.00	148.8	1.01	3.78
52	03/23/17 06:51:40 PM	28.196	83.100	0.00	158.6	0.76	3.27
53	03/23/17 07:01:40 PM	27.949	85.100	0.00	181.1	0.76	3.02
54	03/23/17 07:11:40 PM	28.122	85.800	0.00	158.6	0.50	2.01
55	03/23/17 07:21:40 PM	27.875	86.400	0.00	140.4	0.50	3.02
56	03/23/17 07:31:40 PM	27.628	87.000	0.00	137.6	0.25	2.52
57	03/23/17 07:41:40 PM	27.579	87.500	0.00	130.6	0.25	2.27
58	03/23/17 07:51:40 PM	27.431	87.300	0.00	134.8	0.50	3.78
59	03/23/17 08:01:40 PM	27.456	87.200	0.00	157.2	0.25	2.27
60	03/23/17 08:11:40 PM	27.382	87.400	0.00	146.0	0.25	1.76
61	03/23/17 08:21:40 PM	27.308	87.500	0.00	154.4	0.25	3.53
62	03/23/17 08:31:40 PM	27.284	87.700	0.00	146.0	0.25	1.76
63	03/23/17 08:41:40 PM	27.259	87.800	0.00	162.9	0.25	3.02
64	03/23/17 08:51:40 PM	27.087	88.000	0.00	203.6	0.25	2.52
65	03/23/17 09:01:40 PM	26.940	88.400	0.20	202.2	0.00	1.26
66	03/23/17 09:11:40 PM	26.818	89.000	0.20	129.2	0.00	1.26
67	03/23/17 09:21:40 PM	26.744	89.300	0.20	136.2	0.00	1.26
68	03/23/17 09:31:40 PM	26.671	89.600	0.20	217.6	0.00	1.51
69	03/23/17 09:41:40 PM	26.598	90.100	0.20	182.5	0.00	1.51
70	03/23/17 09:51:40 PM	26.598	90.700	0.00	110.9	0.00	1.26
71	03/23/17 10:01:40 PM	26.475	90.500	0.20	67.4	0.00	0.00
72	03/23/17 10:11:40 PM	26.378	90.200	0.20	339.7	0.00	0.76
73	03/23/17 10:21:40 PM	26.280	90.200	0.40	344.0	0.25	2.01
74	03/23/17 10:31:40 PM	26.109	91.300	1.20	352.4	0.50	1.76
75	03/23/17 10:41:40 PM	26.085	92.200	0.40	324.3	0.00	0.50
76	03/23/17 10:51:40 PM	26.134	92.800	0.60	336.9	0.00	1.26
77	03/23/17 11:01:40 PM	25.914	93.400	0.60	335.5	0.25	1.51
78	03/23/17 11:11:40 PM	25.817	93.800	0.80	297.6	0.25	1.51
79	03/23/17 11:21:40 PM	25.793	94.000	0.40	1.4	0.00	1.01
80	03/23/17 11:31:40 PM	25.793	94.200	0.20	355.2	0.25	1.76
81	03/23/17 11:41:40 PM	25.890	94.400	0.20	335.5	0.00	0.00
82	03/23/17 11:51:40 PM	25.768	94.600	0.20	345.4	0.00	0.76
83	03/24/17 12:01:40 AM	25.647	95.100	0.60	12.6	0.00	1.76
84	03/24/17 12:11:40 AM	25.477	95.500	1.00	32.3	0.00	2.27
85	03/24/17 12:21:40 AM	25.258	95.800	1.00	33.7	0.50	3.02
86	03/24/17 12:31:40 AM	25.258	96.400	0.80	49.1	0.50	2.27
87	03/24/17 12:41:40 AM	25.210	96.600	0.80	51.9	0.00	1.76
88	03/24/17 12:51:40 AM	25.113	96.700	1.00	29.5	0.00	1.26
89	03/24/17 01:01:40 AM	24.919	97.100	1.20	2.8	0.25	2.27
90	03/24/17 01:11:40 AM	24.895	97.400	1.40	279.4	0.25	2.01
91	03/24/17 01:21:40 AM	24.363	97.500	2.60	278.0	0.76	2.27
92	03/24/17 01:31:40 AM	23.761	97.800	4.40	154.4	1.51	5.54
93	03/24/17 01:41:40 AM	23.593	98.100	5.00	185.3	1.76	5.79
94	03/24/17 01:51:40 AM	23.472	98.500	7.80	181.1	2.52	7.05
95	03/24/17 02:01:40 AM	23.232	98.800	2.80	176.9	2.27	6.04
96	03/24/17 02:11:40 AM	22.872	99.100	1.80	278.0	1.01	4.28
97	03/24/17 02:21:40 AM	23.040	99.300	1.20	262.5	0.50	2.77
98	03/24/17 02:31:40 AM	23.160	99.300	1.20	265.3	0.50	3.53
99	03/24/17 02:41:40 AM	23.232	99.400	1.00	199.4	0.50	2.52
100	03/24/17 02:51:40 AM	23.232	99.500	0.80	269.6	0.25	2.77
101	03/24/17 03:01:40 AM	23.304	99.500	0.60	247.1	0.25	1.51
102	03/24/17 03:11:40 AM	23.352	99.600	0.60	256.9	0.25	2.01
103	03/24/17 03:21:40 AM	23.232	99.600	0.20	235.9	0.25	1.51
104	03/24/17 03:31:40 AM	23.328	99.600	0.40	162.9	0.00	1.01
105	03/24/17 03:41:40 AM	23.352	99.600	0.00	172.7	0.00	1.01
106	03/24/17 03:51:40 AM	23.304	99.600	0.00	151.6	0.00	0.76
107	03/24/17 04:01:40 AM	23.352	99.700	0.00	141.8	0.00	0.76
108	03/24/17 04:11:40 AM	23.424	99.700	0.00	168.5	0.00	0.50
109	03/24/17 04:21:40 AM	23.448	99.600	0.00	190.9	0.00	0.00
110	03/24/17 04:31:40 AM	23.569	99.600	0.00	124.9	0.00	0.25
111	03/24/17 04:41:40 AM	23.665	99.600	0.00	122.1	0.00	0.50
112	03/24/17 04:51:40 AM	23.665	99.600	0.00	44.9	0.00	1.01
113	03/24/17 05:01:40 AM	23.545	99.600	0.00	54.8	0.25	1.76
114	03/24/17 05:11:40 AM	23.641	99.600	0.00	59.0	0.50	1.51
115	03/24/17 05:21:40 AM	23.713	99.600	0.00	56.2	0.00	0.50
116	03/24/17 05:31:40 AM	23.809	99.700	0.00	54.8	0.00	0.00
117	03/24/17 05:41:40 AM	23.761	99.700	0.00	221.8	0.00	0.50
118	03/24/17 05:51:40 AM	23.881	99.700	0.00	244.3	0.00	0.76
119	03/24/17 06:01:40 AM	23.954	99.600	0.00	273.8	0.25	2.01
120	03/24/17 06:11:40 AM	24.002	99.400	0.00	272.4	0.25	2.01
121	03/24/17 06:21:40 AM	24.026	99.400	0.00	283.6	0.25	1.76
122	03/24/17 06:31:40 AM	24.098	99.400	0.00	285.0	0.25	1.51
123	03/24/17 06:41:40 AM	24.122	99.300	0.00	289.2	0.00	1.51
124	03/24/17 06:51:40 AM	24.098	99.200	0.00	311.7	0.00	1.26
125	03/24/17 07:01:40 AM	24.098	99.200	0.00	266.7	0.25	2.01
126	03/24/17 07:11:40 AM	24.219	99.000	0.00	276.6	0.50	2.52
127	03/24/17 07:21:40 AM	24.339	98.900	0.00	275.2	0.50	2.52
128	03/24/17 07:31:40 AM	24.629	98.700	0.00	271.0	0.76	2.77
129	03/24/17 07:41:40 AM	24.726	98.300	0.00	283.6	1.76	3.53
130	03/24/17 07:51:40 AM	24.919	97.300	0.00	279.4	2.27	4.53
131	03/24/17 08:01:40 AM	25.404	96.300	0.00	271.0	1.26	4.28
132	03/24/17 08:11:40 AM	25.477	95.200	0.00	276.6	1.26	4.03
133	03/24/17 08:21:40 AM	25.574	94.200	0.00	275.2	1.26	3.27
134	03/24/17 08:31:40 AM	25.987	93.800	0.00	272.4	1.01	3.02
135	03/24/17 08:41:40 AM	26.280	92.700	0.00	272.4	1.51	3.53
136	03/24/17 08:51:40 AM	26.818	91.500	0.00	286.4	1.01	3.02
137	03/24/17 09:01:40 AM	27.014	90.500	0.00	106.7	0.50	2.27
138	03/24/17 09:11:40 AM	26.769	89.300	0.00	286.4	1.01	3.02
139	03/24/17 09:21:40 AM	27.210	89.000	0.00	256.9	0.76	3.02
140	03/24/17 09:31:40 AM	27.284	88.300	0.00	275.2	0.50	2.52
141	03/24/17 09:41:40 AM	27.481	87.600	0.00	238.7	0.25	2.01
142	03/24/17 09:51:40 AM	27.998	87.100	0.00	245.7	0.25	2.77
143	03/24/17 10:01:40 AM	27.087	86.700	0.00	299.0	1.01	2.77
144	03/24/17 10:11:40 AM	26.744	88.100	0.00	317.3	0.76	4.03
145	03/24/17 10:21:40 AM	26.989	89.700	0.00	282.2	1.01	3.78
146	03/24/17 10:31:40 AM	27.235	89.600	0.00	310.3	1.51	3.78
147	03/24/17 10:41:40 AM	27.727	88.400	0.00	299.0	1.26	4.28
148	03/24/17 10:51:40 AM	27.456	87.700	0.00	290.6	1.01	3.53
149	03/24/17 11:01:40 AM	27.259	87.600	0.00	292.0	1.26	3.78
150	03/24/17 11:11:40 AM	27.284	87.400	0.00	247.1	0.76	3.27
151	03/24/17 11:21:40 AM	26.916	87.500	0.00	290.6	1.76	5.29
152	03/24/17 11:31:40 AM	27.136	87.700	0.00	280.8	1.51	4.78
153	03/24/17 11:41:40 AM	27.186	87.700	0.00	293.4	1.01	3.78
154	03/24/17 11:51:40 AM	26.916	88.100	0.00	289.2	1.26	4.03
155	03/24/17 12:01:40 PM	26.867	87.900	0.00	286.4	2.01	5.29
156	03/24/17 12:11:40 PM	26.916	88.100	0.00	276.6	1.01	4.28
157	03/24/17 12:21:40 PM	26.916	87.600	0.00	249.9	0.25	3.53
158	03/24/17 12:31:40 PM	27.063	88.600	0.00	134.8	0.25	2.01
159	03/24/17 12:41:40 PM	27.136	88.300	0.00	205.0	1.01	3.78
160	03/24/17 12:51:40 PM	27.653	86.600	0.00	233.1	0.50	2.77
161	03/24/17 01:01:40 PM	25.939	87.500	0.00	126.4	1.51	4.28
162	03/24/17 01:11:40 PM	24.847	90.200	0.60	136.2	1.51	3.78
163	03/24/17 01:21:40 PM	24.412	92.200	0.80	130.6	1.01	2.77
164	03/24/17 01:31:40 PM	24.267	93.500	0.80	127.8	1.51	3.53
165	03/24/17 01:41:40 PM	24.122	94.000	0.80	212.0	0.25	1.76
166	03/24/17 01:51:40 PM	23.833	94.500	0.40	268.1	0.76	3.27
167	03/24/17 02:01:40 PM	23.761	95.200	0.40	275.2	1.51	3.27
168	03/24/17 02:11:40 PM	24.122	95.800	0.00	263.9	0.76	3.02
169	03/24/17 02:21:40 PM	24.315	95.900	0.20	207.8	0.25	2.52
170	03/24/17 02:31:40 PM	24.532	95.900	0.00	202.2	0.00	1.26
171	03/24/17 02:41:40 PM	24.823	95.600	0.00	174.1	0.00	0.76
172	03/24/17 02:51:40 PM	25.355	95.000	0.00	161.5	0.25	1.76
173	03/24/17 03:01:40 PM	25.574	94.300	0.00	181.1	0.00	1.51
174	03/24/17 03:11:40 PM	25.744	93.400	0.00	175.5	0.50	2.27
175	03/24/17 03:21:40 PM	25.720	92.000	0.00	171.3	0.25	2.52
176	03/24/17 03:31:40 PM	25.598	91.400	0.00	134.8	0.25	2.01
177	03/24/17 03:41:40 PM	25.768	91.700	0.00	167.1	0.00	0.76
178	03/24/17 03:51:40 PM	26.109	92.000	0.00	129.2	0.00	0.76
179	03/24/17 04:01:40 PM	26.012	92.100	0.00	144.6	0.25	2.27
180	03/24/17 04:11:40 PM	25.817	92.700	0.00	247.1	0.25	2.01
181	03/24/17 04:21:40 PM	25.890	93.400	0.00	240.1	0.50	2.52
182	03/24/17 04:31:40 PM	25.890	93.200	0.00	150.2	0.50	3.02
183	03/24/17 04:41:40 PM	25.671	92.500	0.00	106.7	1.51	4.28
184	03/24/17 04:51:40 PM	25.744	92.500	0.00	213.4	0.76	4.03
185	03/24/17 05:01:40 PM	25.525	92.600	0.00	103.9	1.01	4.28
186	03/24/17 05:11:40 PM	25.380	93.300	0.00	75.8	3.02	5.79
187	03/24/17 05:21:40 PM	25.453	93.600	0.00	137.6	1.01	4.78
188	03/24/17 05:31:40 PM	25.404	93.600	0.00	61.8	1.01	3.53
189	03/24/17 05:41:40 PM	25.186	93.500	0.00	73.0	2.27	5.54
190	03/24/17 05:51:40 PM	24.919	94.200	0.00	88.4	2.52	5.04
191	03/24/17 06:01:40 PM	25.040	94.800	0.00	94.1	2.01	4.78
192	03/24/17 06:11:40 PM	24.895	94.900	0.00	84.2	1.51	5.04
193	03/24/17 06:21:40 PM	24.774	94.900	0.00	259.7	0.50	1.76
194	03/24/17 06:31:40 PM	24.557	94.800	0.00	294.8	0.50	2.77
195	03/24/17 06:41:40 PM	24.532	94.700	0.00	286.4	0.76	2.52
196	03/24/17 06:51:40 PM	24.339	94.700	0.00	26.7	1.26	4.53
197	03/24/17 07:01:40 PM	24.219	94.800	0.00	322.9	1.26	4.28
198	03/24/17 07:11:40 PM	24.122	94.600	0.00	310.3	1.01	2.77
199	03/24/17 07:21:40 PM	24.002	94.300	0.00	338.3	1.26	4.03
200	03/24/17 07:31:40 PM	23.930	94.600	0.00	282.2	0.76	3.02
201	03/24/17 07:41:40 PM	23.905	95.000	0.00	21.1	0.50	2.52
202	03/24/17 07:51:40 PM	23.905	94.900	0.00	36.5	0.25	2.01
203	03/24/17 08:01:40 PM	23.930	94.600	0.00	33.7	0.50	2.52
204	03/24/17 08:11:40 PM	23.881	94.400	0.00	37.9	0.50	3.27
205	03/24/17 08:21:40 PM	23.785	94.200	0.00	50.5	0.76	3.53
206	03/24/17 08:31:40 PM	23.857	93.900	0.00	51.9	0.50	2.52
207	03/24/17 08:41:40 PM	23.857	93.900	0.00	51.9	0.00	1.26
208	03/24/17 08:51:40 PM	23.954	94.000	0.00	28.1	0.00	0.76
209	03/24/17 09:01:40 PM	23.978	93.900	0.00	355.2	0.00	0.00
210	03/24/17 09:11:40 PM	24.074	93.800	0.00	355.2	0.00	0.00
211	03/24/17 09:21:40 PM	24.122	94.000	0.00	355.2	0.00	0.00
212	03/24/17 09:31:40 PM	24.122	94.000	0.00	64.6	0.00	1.01
213	03/24/17 09:41:40 PM	24.098	94.000	0.00	126.4	0.25	2.52
214	03/24/17 09:51:40 PM	24.074	94.200	0.00	133.4	0.50	1.76
215	03/24/17 10:01:40 PM	24.122	94.000	0.00	122.1	0.25	2.52
216	03/24/17 10:11:40 PM	24.219	93.400	0.00	147.4	0.00	1.26
217	03/24/17 10:21:40 PM	24.195	92.600	0.00	198.0	0.50	2.52
218	03/24/17 10:31:40 PM	24.122	92.100	0.00	200.8	0.76	3.27
219	03/24/17 10:41:40 PM	24.195	92.300	0.00	209.2	0.76	3.02
220	03/24/17 10:51:40 PM	24.363	92.000	0.00	147.4	0.00	2.01
221	03/24/17 11:01:40 PM	24.557	91.200	0.00	132.0	0.00	1.26
222	03/24/17 11:11:40 PM	24.605	90.200	0.00	143.2	0.00	0.25
223	03/24/17 11:21:40 PM	24.750	89.600	0.00	175.5	0.00	1.26
224	03/24/17 11:31:40 PM	24.871	88.300	0.00	199.4	0.00	1.26
225	03/24/17 11:41:40 PM	24.871	87.400	0.00	237.3	0.00	2.01
226	03/24/17 11:51:40 PM	25.113	87.000	0.00	167.1	0.00	1.01
227	03/25/17 12:01:40 AM	25.162	86.200	0.00	212.0	0.00	0.50
228	03/25/17 12:11:40 AM	24.992	85.800	0.00	192.3	0.00	0.50
229	03/25/17 12:21:40 AM	24.798	86.500	0.00	189.5	0.00	0.50
230	03/25/17 12:31:40 AM	24.750	87.400	0.00	192.3	0.00	0.76
231	03/25/17 12:41:40 AM	24.219	88.000	0.00	182.5	0.00	1.76
232	03/25/17 12:51:40 AM	24.050	90.100	0.00	189.5	0.50	2.77
233	03/25/17 01:01:40 AM	23.978	91.900	0.00	179.7	0.25	2.52
234	03/25/17 01:11:40 AM	23.930	93.100	0.00	181.1	0.25	2.52
235	03/25/17 01:21:40 AM	23.905	94.200	0.00	203.6	0.25	2.27
236	03/25/17 01:31:40 AM	23.905	94.900	0.00	219.0	0.50	3.02
237	03/25/17 01:41:40 AM	23.881	95.200	0.00	217.6	0.00	2.01
238	03/25/17 01:51:40 AM	23.905	95.400	0.00	200.8	0.00	1.26
239	03/25/17 02:01:40 AM	23.833	95.500	0.00	198.0	0.00	0.50
240	03/25/17 02:11:40 AM	23.809	95.500	0.00	220.4	0.00	1.01
241	03/25/17 02:21:40 AM	23.857	95.600	0.00	199.4	0.00	0.25
242	03/25/17 02:31:40 AM	23.833	95.700	0.00	160.0	0.00	0.76
243	03/25/17 02:41:40 AM	23.833	95.800	0.00	172.7	0.00	1.51
244	03/25/17 02:51:40 AM	23.881	96.000	0.00	165.7	0.00	1.01
245	03/25/17 03:01:40 AM	23.881	96.000	0.00	207.8	0.00	1.01
246	03/25/17 03:11:40 AM	23.881	96.000	0.00	192.3	0.00	1.01
247	03/25/17 03:21:40 AM	23.930	95.800	0.00	193.7	0.00	1.26
248	03/25/17 03:31:40 AM	24.098	95.600	0.00	183.9	0.00	1.26
249	03/25/17 03:41:40 AM	24.050	95.100	0.00	188.1	0.00	0.50
250	03/25/17 03:51:40 AM	24.050	94.600	0.00	185.3	0.00	1.26
251	03/25/17 04:01:40 AM	24.002	94.400	0.00	189.5	0.00	0.76
252	03/25/17 04:11:40 AM	23.978	94.300	0.00	199.4	0.00	0.76
253	03/25/17 04:21:40 AM	24.002	94.400	0.00	192.3	0.00	0.25
254	03/25/17 04:31:40 AM	23.978	94.500	0.00	192.3	0.00	0.50
255	03/25/17 04:41:40 AM	23.978	94.600	0.00	193.7	0.00	0.25
256	03/25/17 04:51:40 AM	23.905	94.600	0.00	196.5	0.00	0.25
257	03/25/17 05:01:40 AM	24.002	94.700	0.00	196.5	0.00	0.00
258	03/25/17 05:11:40 AM	23.954	94.900	0.00	196.5	0.00	0.00
259	03/25/17 05:21:40 AM	24.002	95.000	0.00	196.5	0.00	0.00
260	03/25/17 05:31:40 AM	24.074	95.200	0.00	196.5	0.00	0.00
261	03/25/17 05:41:40 AM	24.026	95.400	0.00	196.5	0.00	0.00
262	03/25/17 05:51:40 AM	24.050	95.500	0.00	196.5	0.00	0.50
263	03/25/17 06:01:40 AM	24.050	95.600	0.00	221.8	0.00	0.25
264	03/25/17 06:11:40 AM	24.026	95.800	0.00	248.5	0.00	0.00
265	03/25/17 06:21:40 AM	24.050	95.800	0.00	248.5	0.00	0.00
266	03/25/17 06:31:40 AM	24.122	95.900	0.00	324.3	0.00	0.50
267	03/25/17 06:41:40 AM	24.195	96.000	0.00	338.3	0.00	0.25
268	03/25/17 06:51:40 AM	24.267	96.100	0.00	355.2	0.25	1.01
269	03/25/17 07:01:40 AM	24.363	96.000	0.00	351.0	0.25	1.51
270	03/25/17 07:11:40 AM	24.412	96.000	0.00	355.2	0.25	1.76
271	03/25/17 07:21:40 AM	24.484	96.100	0.00	352.4	0.00	0.76
272	03/25/17 07:31:40 AM	24.895	96.200	0.00	351.0	0.00	0.00
273	03/25/17 07:41:40 AM	25.016	96.200	0.00	336.9	0.00	0.50
274	03/25/17 07:51:40 AM	25.234	96.200	0.00	336.9	0.00	0.00
275	03/25/17 08:01:40 AM	25.525	95.900	0.00	2.8	0.00	0.50
276	03/25/17 08:11:40 AM	25.671	95.500	0.00	4.2	0.00	0.76
277	03/25/17 08:21:40 AM	26.231	95.000	0.00	355.2	0.00	0.76
278	03/25/17 08:31:40 AM	26.646	94.300	0.00	355.2	0.00	0.50
279	03/25/17 08:41:40 AM	26.598	92.600	0.00	306.1	0.00	2.01
280	03/25/17 08:51:40 AM	26.426	90.900	0.00	293.4	0.25	2.01
281	03/25/17 09:01:40 AM	26.916	90.700	0.00	265.3	0.25	2.27
282	03/25/17 09:11:40 AM	27.087	89.800	0.00	301.8	0.25	2.27
283	03/25/17 09:21:40 AM	27.259	89.100	0.00	355.2	0.25	2.52
284	03/25/17 09:31:40 AM	27.456	88.500	0.00	307.5	0.00	1.26
285	03/25/17 09:41:40 AM	27.063	87.400	0.00	301.8	0.76	2.27
286	03/25/17 09:51:40 AM	27.998	87.000	0.00	334.1	0.00	1.26
287	03/25/17 10:01:40 AM	28.742	85.600	0.00	237.3	0.00	1.51
288	03/25/17 10:11:40 AM	28.766	83.400	0.00	226.0	0.25	2.01
289	03/25/17 10:21:40 AM	28.642	82.500	0.00	338.3	0.25	2.27
290	03/25/17 10:31:40 AM	29.215	81.800	0.00	339.7	0.00	1.26
291	03/25/17 10:41:40 AM	29.790	80.300	0.00	272.4	0.00	0.76
292	03/25/17 10:51:40 AM	29.464	79.000	0.00	263.9	0.00	1.01
293	03/25/17 11:01:40 AM	29.991	78.800	0.00	123.5	0.00	1.26
294	03/25/17 11:11:40 AM	30.192	77.800	0.00	26.7	0.00	1.51
295	03/25/17 11:21:40 AM	31.128	76.600	0.00	5.6	0.00	1.26
296	03/25/17 11:31:40 AM	30.722	75.100	0.00	18.3	0.00	1.26
297	03/25/17 11:41:40 AM	31.179	75.000	0.00	0.0	0.00	0.76
298	03/25/17 11:51:40 AM	30.369	74.400	0.00	336.9	0.76	2.77
299	03/25/17 12:01:40 PM	30.925	74.500	0.00	352.4	0.50	2.01
300	03/25/17 12:11:40 PM	31.179	73.300	0.00	4.2	0.76	3.02
301	03/25/17 12:21:40 PM	31.255	72.300	0.00	346.8	0.25	2.27
302	03/25/17 12:31:40 PM	30.672	71.700	0.00	341.2	0.76	3.02
303	03/25/17 12:41:40 PM	30.925	72.000	0.00	19.7	0.50	3.53
304	03/25/17 12:51:40 PM	32.150	71.100	0.00	353.8	0.50	3.02
305	03/25/17 01:01:40 PM	31.484	68.800	0.00	318.7	0.50	2.01
306	03/25/17 01:11:40 PM	32.510	68.400	0.00	35.1	0.50	2.27
307	03/25/17 01:21:40 PM	32.587	66.100	0.00	2.8	0.50	3.02
308	03/25/17 01:31:40 PM	32.717	64.900	0.00	345.4	0.50	2.52
309	03/25/17 01:41:40 PM	33.053	64.200	0.00	56.2	0.76	3.02
310	03/25/17 01:51:40 PM	32.898	62.800	0.00	29.5	1.01	3.02
311	03/25/17 02:01:40 PM	33.183	62.100	0.00	70.2	0.76	2.01
312	03/25/17 02:11:40 PM	32.175	63.000	0.00	133.4	0.50	2.52
313	03/25/17 02:21:40 PM	32.124	64.700	0.00	355.2	0.50	3.27
314	03/25/17 02:31:40 PM	32.484	64.700	0.00	351.0	0.50	2.52
315	03/25/17 02:41:40 PM	34.229	63.900	0.00	146.0	0.25	2.27
316	03/25/17 02:51:40 PM	33.079	61.400	0.00	44.9	0.50	2.27
317	03/25/17 03:01:40 PM	32.330	61.800	0.00	279.4	0.76	3.02
318	03/25/17 03:11:40 PM	31.944	63.500	0.00	300.4	1.01	3.27
319	03/25/17 03:21:40 PM	32.098	64.100	0.00	321.5	0.76	2.52
320	03/25/17 03:31:40 PM	32.201	62.300	0.00	320.1	0.76	2.77
321	03/25/17 03:41:40 PM	31.791	63.200	0.00	317.3	0.76	2.52
322	03/25/17 03:51:40 PM	31.586	61.600	0.00	294.8	0.76	2.27
323	03/25/17 04:01:40 PM	31.306	63.100	0.00	300.4	0.76	2.77
324	03/25/17 04:11:40 PM	31.382	63.800	0.00	304.7	0.50	2.01
325	03/25/17 04:21:40 PM	31.052	63.500	0.00	292.0	0.76	3.53
326	03/25/17 04:31:40 PM	31.179	63.200	0.00	307.5	0.76	3.27
327	03/25/17 04:41:40 PM	30.849	65.800	0.00	300.4	1.01	2.77
328	03/25/17 04:51:40 PM	30.925	65.400	0.00	294.8	0.76	3.02
329	03/25/17 05:01:40 PM	30.773	65.200	0.00	294.8	0.50	2.52
330	03/25/17 05:11:40 PM	30.545	67.000	0.00	289.2	0.50	2.27
331	03/25/17 05:21:40 PM	30.520	67.900	0.00	292.0	0.50	2.52
332	03/25/17 05:31:40 PM	30.444	68.500	0.00	299.0	0.50	2.27
333	03/25/17 05:41:40 PM	30.343	68.100	0.00	304.7	0.50	3.02
